Date,Close,Volume,Open,High,Low
02/24/2023,$118.04,4693002,$117.97,$118.74,$117.34
02/23/2023,$119.96,4101920,$120.76,$120.76,$118.55
02/22/2023,$119.90,5021991,$121.10,$121.395,$119.6375
02/21/2023,$121.10,5110256,$123.28,$124.00,$120.98
02/17/2023,$124.84,5161724,$123.71,$124.89,$123.435
02/16/2023,$124.38,4722184,$125.43,$127.21,$124.1101
02/15/2023,$127.48,5689700,$124.90,$127.50,$124.90
02/14/2023,$126.20,4845860,$123.95,$126.36,$123.74
02/13/2023,$125.15,5689778,$122.82,$125.72,$122.46
02/10/2023,$122.23,5195451,$121.51,$122.635,$120.54
02/09/2023,$122.18,5928984,$124.71,$125.02,$121.50
02/08/2023,$122.91,5877807,$123.38,$124.10,$121.80
02/07/2023,$125.33,5288935,$123.96,$125.93,$123.25
02/06/2023,$125.73,4666535,$125.52,$126.10,$124.32
02/03/2023,$127.61,4930209,$126.79,$129.42,$126.44
02/02/2023,$129.06,5214452,$130.45,$131.31,$127.86
02/01/2023,$129.50,6387919,$127.90,$130.22,$126.22
01/31/2023,$127.33,7687083,$126.42,$127.85,$126.01
01/30/2023,$126.37,6494692,$126.50,$127.56,$126.205
01/27/2023,$127.53,5730012,$127.07,$128.58,$126.695
01/26/2023,$127.53,5838801,$128.46,$128.99,$126.01
01/25/2023,$126.82,5933730,$125.86,$127.01,$124.83
01/24/2023,$126.83,5486219,$123.58,$128.005,$112.36
01/23/2023,$128.29,5581559,$126.90,$128.745,$126.54
01/20/2023,$126.62,5673181,$124.68,$126.64,$124.04
01/19/2023,$124.53,5273493,$124.79,$125.44,$123.61
01/18/2023,$126.43,6828808,$127.80,$128.5852,$126.00
01/17/2023,$128.14,6172170,$128.00,$129.05,$127.83
01/13/2023,$128.85,4856475,$126.66,$129.23,$126.66
01/12/2023,$127.89,8366442,$128.35,$128.46,$126.46
01/11/2023,$127.94,6989184,$126.32,$128.255,$126.01
01/10/2023,$125.84,5899920,$125.21,$126.33,$124.37
01/09/2023,$124.85,9397868,$125.00,$126.61,$124.55
01/06/2023,$124.53,10080650,$122.00,$125.36,$121.77
01/05/2023,$120.62,6046737,$120.28,$122.34,$120.08
01/04/2023,$121.21,8550659,$119.96,$122.23,$119.53
01/03/2023,$118.75,8124770,$118.55,$119.49,$117.44
