nike_id,Date,Open,High,Low,Close,Volume,VWAP,Transactions,Percent Change,Return
193,10/09/23,96.780000,97.140000,95.920000,96.880000,5964219.000000,96.680000,81912,-0.002370,-38.740000
194,10/10/23,97.250000,98.860000,97.230000,97.620000,8499017.000000,97.950000,103937,0.007640,124.630000
195,10/11/23,98.310000,98.950000,98.010000,98.650000,7642891.000000,98.500000,93510,0.010550,173.470000
196,10/12/23,99.540000,100.050000,98.520000,99.250000,10705166.000000,99.270000,127187,0.006080,101.050000
197,10/13/23,99.580000,100.840000,99.450000,99.910000,8784716.000000,100.030000,119341,0.006650,111.160000
198,10/16/23,99.720000,102.580000,99.600000,102.040000,10845424.000000,101.910000,130704,0.021320,358.740000
199,10/17/23,101.970000,103.590000,101.970000,103.010000,9253760.000000,102.900000,113703,0.009510,163.370000
200,10/18/23,102.970000,103.900000,102.930000,103.770000,8757335.000000,103.490000,109417,0.007380,128.000000
201,10/19/23,103.770000,104.350000,102.850000,103.050000,8391080.000000,103.490000,109266,-0.006940,-121.260000
202,10/20/23,103.320000,103.770000,102.570000,102.670000,7823499.000000,102.900000,87891,-0.003690,-64.000000
203,10/23/23,102.130000,103.760000,101.770000,102.810000,5966147.000000,103.000000,81668,0.001360,23.580000
204,10/24/23,103.660000,105.650000,103.660000,105.180000,9252448.000000,105.030000,112785,0.023050,399.160000
205,10/25/23,104.460000,105.040000,103.490000,103.540000,7054680.000000,104.000000,93385,-0.015590,-276.210000
206,10/26/23,102.180000,102.630000,99.950000,100.020000,11222560.000000,100.680000,137775,-0.034000,-592.840000
207,10/27/23,99.780000,100.340000,97.810000,97.980000,9602699.000000,98.840000,117195,-0.020400,-343.580000
208,10/30/23,99.000000,102.050000,99.000000,101.800000,8206702.000000,101.110000,104071,0.038990,643.370000
209,10/31/23,101.400000,102.930000,101.400000,102.770000,6558458.000000,102.480000,79852,0.009530,163.370000
210,11/01/23,102.550000,102.670000,99.970000,100.880000,7272370.000000,100.740000,103673,-0.018390,-318.320000
211,11/02/23,102.050000,105.550000,101.890000,105.080000,8135111.000000,104.510000,99421,0.041630,707.370000
212,11/03/23,106.430000,107.650000,106.050000,107.060000,7567959.000000,107.040000,97747,0.018840,333.470000
213,11/06/23,106.960000,107.600000,106.370000,107.250000,5203165.000000,106.990000,90096,0.001770,32.000000
214,11/07/23,107.320000,109.360000,107.230000,109.360000,7745848.000000,108.870000,93878,0.019670,355.370000
215,11/08/23,109.370000,110.700000,108.900000,109.390000,8639736.000000,109.560000,97862,0.000270,5.050000
216,11/09/23,109.820000,109.900000,106.920000,107.000000,9154218.000000,107.590000,107092,-0.021850,-402.530000
217,11/10/23,107.340000,107.830000,105.610000,106.110000,8897927.000000,106.260000,112806,-0.008320,-149.890000
218,11/13/23,105.370000,105.720000,104.180000,104.200000,7055631.000000,104.490000,86362,-0.018000,-321.680000
219,11/14/23,105.560000,107.100000,105.380000,105.750000,9674819.000000,106.130000,119390,0.014880,261.050000
220,11/15/23,106.820000,109.060000,106.720000,107.820000,11140831.000000,108.060000,130589,0.019570,348.630000
221,11/16/23,107.100000,108.000000,107.000000,107.610000,5386979.000000,107.510000,86020,-0.001950,-35.370000
222,11/17/23,108.060000,108.210000,105.520000,105.960000,6353975.000000,106.250000,81754,-0.015330,-277.890000
223,11/20/23,106.000000,106.550000,105.100000,106.320000,6195561.000000,105.920000,90338,0.003400,60.630000
224,11/21/23,106.170000,106.700000,105.350000,106.550000,5803549.000000,106.170000,81578,0.002160,38.740000
225,11/22/23,107.500000,108.030000,106.820000,107.920000,6280910.000000,107.560000,90422,0.012860,230.740000
226,11/24/23,107.500000,108.000000,107.400000,107.640000,2443610.000000,107.650000,38927,-0.002590,-47.160000
227,11/27/23,107.660000,108.220000,106.900000,107.960000,5761038.000000,107.840000,71912,0.002970,53.890000
228,11/28/23,108.570000,109.900000,108.150000,108.750000,7287568.000000,108.980000,81570,0.007320,133.050000
229,11/29/23,110.800000,112.150000,110.140000,110.370000,9601810.000000,110.730000,119805,0.014900,272.840000
230,11/30/23,110.530000,110.600000,108.960000,110.270000,8690871.000000,109.940000,90209,-0.000910,-16.840000
231,12/01/23,110.330000,113.550000,109.750000,113.480000,8031165.000000,112.500000,106796,0.029110,540.630000
232,12/04/23,113.080000,115.320000,113.000000,115.150000,10086580.000000,114.700000,127221,0.014720,281.260000
233,12/05/23,114.660000,116.040000,114.600000,115.410000,6959966.000000,115.520000,88366,0.002260,43.790000
234,12/06/23,116.000000,117.140000,115.570000,116.110000,6316960.000000,116.360000,81078,0.006070,117.890000
235,12/07/23,114.120000,116.000000,114.120000,114.810000,7294460.000000,115.060000,84772,-0.011200,-218.950000
236,12/08/23,114.500000,116.290000,114.470000,115.910000,6122150.000000,115.810000,72722,0.009580,185.260000
237,12/11/23,117.790000,119.420000,117.430000,118.610000,7972751.000000,118.680000,99814,0.023290,454.740000
238,12/12/23,119.680000,119.990000,118.580000,119.640000,7378379.000000,119.380000,89262,0.008680,173.470000
239,12/13/23,119.350000,121.440000,119.200000,121.170000,8182887.000000,120.520000,98240,0.012790,257.680000
240,12/14/23,121.440000,122.590000,119.820000,121.020000,9590510.000000,121.450000,108839,-0.001240,-25.260000
241,12/15/23,120.930000,122.060000,120.600000,121.550000,13629528.000000,121.390000,97387,0.004380,89.260000
242,12/18/23,121.410000,121.840000,120.860000,121.140000,6874837.000000,121.280000,89402,-0.003370,-69.050000
243,12/19/23,121.740000,123.340000,121.640000,122.640000,7697272.000000,122.500000,88581,0.012380,252.630000
244,12/20/23,121.130000,123.390000,121.000000,121.430000,8978563.000000,122.220000,115920,-0.009870,-203.790000
245,12/21/23,122.300000,123.300000,121.300000,122.530000,16505347.000000,118.730000,185815,0.009060,185.260000
246,12/22/23,108.260000,110.800000,107.450000,108.040000,46609838.000000,108.930000,455983,-0.118260,-2440.420000
247,12/26/23,108.300000,108.690000,107.480000,108.020000,12846721.000000,108.060000,140362,-0.000190,-3.370000
248,12/27/23,108.340000,108.590000,106.850000,107.130000,10157852.000000,107.360000,127570,-0.008240,-149.890000
249,12/28/23,107.210000,109.400000,106.810000,108.820000,9352902.000000,108.380000,124068,0.015780,284.630000
250,12/29/23,108.960000,109.960000,108.090000,108.570000,7667522.000000,108.660000,91083,-0.002300,-42.110000
251,01/02/24,107.610000,107.850000,106.450000,106.550000,9082416.000000,106.950000,127708,-0.018610,-340.210000
252,01/03/24,105.720000,107.480000,104.000000,104.040000,10573744.000000,104.530000,123824,-0.023560,-422.740000
253,01/04/24,102.460000,103.620000,102.300000,102.300000,10400956.000000,102.750000,123921,-0.016720,-293.050000
254,01/05/24,102.460000,103.680000,101.900000,102.080000,8044543.000000,102.430000,105365,-0.002150,-37.050000
